student_id,age,gender,academic_level,country,avg_daily_usage_hours,most_used_platform,affects_academic_performance,sleep_hours_per_night,mental_health_score,relationship_status,conflicts_over_social_media,addicted_score
1052,20,1,2,61,3,1,1,6,8.520886231,2,2,2.3
1053,20,0,2,61,3,7,0,7,8.706805078,2,1,2.1
1054,20,0,2,61,3,6,1,7,8.706805078,2,1,2.1
1055,20,0,2,61,3,11,0,7,8.706805078,2,1,2.1
1056,21,0,2,61,5,0,1,4,9.463812832,2,0,2.5
1057,21,0,2,61,0.5,1,1,4,8.292442679,2,0,1
1058,22,1,2,61,5,4,0,6,8.826481813,2,1,2.8
1059,22,1,2,61,3,5,1,6,8.611279475,2,1,2.3
1060,22,1,2,61,5,6,0,6,8.954062444,2,1,2.6
1061,20,1,2,61,7,1,0,6,8.486830169,2,2,3.5
1062,25,1,2,61,7,5,1,7,7.957455101,2,4,3.8
1063,24,1,2,61,3,6,1,6,8.520886231,2,2,2.3
1064,32,0,2,61,5,4,0,7,8.946155129,2,1,2.5
1065,18,0,2,61,7,1,1,8,8.367958921,2,1,3.5
1066,18,1,2,61,3,11,0,5,8.913335152,2,0,2
1067,21,1,2,61,3,6,1,7,8.633353816,2,0,2.4
1068,18,0,2,61,5,4,0,7,8.510207379,2,3,2.9
1069,18,0,2,61,7,1,1,8,8.367958921,2,1,3.5
1070,18,0,2,61,5,0,0,4,9.336232201,2,0,2.7
1071,19,0,2,61,5,5,1,8,8.873068607,2,0,2.7
1072,20,1,2,61,5,6,1,5,9.018826192,2,1,2.7
1073,21,0,2,61,5,4,0,7,8.473019992,2,2,3.1
1074,21,1,2,61,3,1,1,7,8.761419913,2,1,2
1075,22,1,2,61,5,6,1,9,9.392859322,2,0,2.3
1076,21,1,2,61,3,0,0,5,9.350253833,2,0,1.2
1077,80,2,2,61,9,1,1,9,7.898875557,2,4,4.7
1078,79,2,2,61,9,11,0,9,7.79422541,2,4,4.5
1079,23,0,2,61,5,6,1,4,9.400022517,2,0,2.6
1080,18,1,2,61,5,4,0,7,8.79197157,2,2,2.6
1081,21,1,2,61,1.5,1,1,4,8.719588135,2,0,1
1082,20,0,2,61,5,0,0,6,9.044455687,2,0,2.6
1083,18,0,2,61,5,5,1,9,9.584230268,2,0,2
1084,21,1,2,61,1.5,6,1,6,7.919273668,2,3,2.1
1085,18,0,2,61,3,4,0,6,8.793960407,2,2,1.8
1086,32,1,2,61,5,1,1,8,8.745487976,2,0,2.9
1087,20,0,2,61,9,6,1,7,8.328991118,2,0,4.2
1088,23,0,2,61,0.5,0,0,6,7.690268989,2,2,2.2
1089,25,1,2,61,0.5,1,1,7,8.231861754,2,0,1.5
1090,21,1,2,61,5,11,0,6,8.916875056,2,0,2.8
1091,20,1,2,61,3,6,1,5,8.623318994,2,2,2.2
1092,22,1,2,61,5,4,0,8,9.2558105,2,0,2.1
1093,25,1,2,61,1.5,1,1,6,8.290993055,2,1,1.7
1094,18,0,2,61,7,0,0,8,8.367958921,2,1,3.5
1095,18,0,2,61,5,5,1,7,8.510207379,2,3,2.9
1096,80,2,2,61,1.5,6,1,8,8.642640954,2,0,1.3
1097,19,0,2,61,3,4,0,9,8.88521891,2,0,2.5
1098,22,1,2,61,5,1,1,6,9.118830462,2,2,2.2
1099,24,0,2,61,3,6,1,7,8.578738981,2,0,2.5
1100,21,0,2,61,3,0,0,5,8.476416471,2,0,2.8
1101,21,0,2,61,9,1,1,6,9.091664806,2,0,3.5
1102,19,0,2,61,9,11,0,9,8.057153174,2,2,4.4
1103,21,1,2,61,3,6,1,5,8.732548665,2,2,2
1104,21,1,2,61,5,4,0,7,8.882364814,2,1,2.6
1105,21,1,2,61,3,1,1,6,8.648952328,2,3,1.9
1106,21,1,2,61,3,0,0,6,8.648952328,2,3,1.9
1107,21,1,2,61,3,5,1,6,8.648952328,2,3,1.9
1108,22,1,2,61,3,6,1,7,8.597575408,2,1,2.3
1109,24,0,2,61,5,4,0,6,8.672298253,2,2,2.9
1110,25,1,2,61,3,1,1,6,8.684730737,2,2,2
1111,25,1,2,61,3,6,1,6,8.684730737,2,2,2
1112,21,0,2,61,1.5,0,0,5,8.607318248,2,0,1.2
1113,25,0,2,61,3,1,1,6,8.974746895,2,0,1.8
1114,21,0,2,61,3,6,1,7,8.906427992,2,0,1.9
1115,21,0,2,61,9,5,1,6,9.091664806,2,0,3.5
1116,20,1,2,61,3,4,0,6,9.1385914,2,0,1.5
1117,18,1,2,61,9,1,1,5,9.118763378,2,2,3.6
1118,16,1,2,61,3,11,0,8,9.187277197,2,0,1.4
1119,21,0,2,61,5,6,1,8,9.000649238,2,0,2.5
1120,17,0,2,61,3,4,0,8,8.586514011,2,0,2.5
1121,21,2,2,61,1.5,1,1,6,8.715518872,2,0,1
1122,21,1,2,61,3,5,1,6,8.411656561,2,2,2.5
1123,18,0,2,61,3,0,0,8,8.405727523,2,2,2.5
1124,18,1,2,61,5,6,1,7,8.79197157,2,2,2.6
1125,21,0,2,61,9,1,1,6,9.091664806,2,0,3.5
1126,20,1,2,61,7,4,0,5,8.987983551,2,2,3.1
1127,14,0,2,61,3,5,1,4,9.184072807,2,0,1.7
1128,24,0,2,61,5,6,1,5,9.284571912,2,3,2
1129,18,1,2,61,5,0,0,7,8.79197157,2,2,2.6
1130,35,0,2,61,3,11,1,5,9.186409328,2,0,1.5
1131,25,1,2,61,3,1,1,5,8.986786414,2,1,1.7
1132,30,0,2,61,1.5,4,0,8,8.785840629,2,0,1
1133,20,2,2,61,5,6,1,5,9.656729346,2,1,1.7
1134,22,0,2,61,1.5,0,0,6,8.529659179,2,1,1.2
1135,24,1,2,61,3,4,0,5,9.077179657,2,0,1.7
1136,21,1,2,61,3,5,1,4,8.965613466,2,0,2.1
1137,23,0,2,61,1.5,1,1,5,8.421458555,2,1,1.4
1138,18,0,2,61,3,6,1,6,9.083976565,2,0,1.6
1139,52,1,2,61,3,4,0,6,8.920132059,2,0,1.9
1140,29,1,2,61,1.5,11,1,5,8.655051473,2,0,1.1
1141,34,0,2,61,1.5,1,1,7,8.697576751,2,0,1.1
1142,45,0,2,61,1.5,0,0,6,8.715518872,2,0,1
1143,15,0,2,61,7,6,1,7,8.739395404,2,1,3.1
1144,17,0,2,61,5,5,0,6,8.544717622,2,2,3.1
1145,22,0,2,61,3,1,1,8,8.405727523,2,2,2.5
1146,25,1,2,61,3,4,0,6,8.974746895,2,0,1.8
1147,19,0,2,61,9,6,1,8,8.107098444,2,2,4.1
1148,54,1,2,61,1.5,5,1,7,8.697576751,2,0,1.1
1149,21,0,2,61,9,4,0,4,10.07886303,2,2,3
1150,20,0,2,61,5,1,1,5,8.726477543,2,0,3.3
1151,18,1,2,61,5,6,1,6,8.635110866,2,1,3.1
1152,23,0,2,61,7,11,1,7,8.374566424,2,1,3.6
