student_id,age,gender,academic_level,country,avg_daily_usage_hours,most_used_platform,affects_academic_performance,sleep_hours_per_night,mental_health_score,relationship_status,conflicts_over_social_media,addicted_score
1,19,0,2,10,5.2,1,1,6.5,6,1,3,8
2,22,1,0,39,2.1,7,0,7.5,8,2,0,3
3,20,0,2,104,6,6,1,5,5,0,4,9
4,18,1,1,101,3,11,0,7,7,2,1,4
5,21,1,0,18,4.5,0,1,6,6,1,2,7
6,19,0,2,5,7.2,1,1,4.5,4,0,5,9
7,23,1,0,33,1.5,4,0,8,9,2,0,2
8,20,0,2,16,5.8,5,1,6,6,1,2,8
9,18,1,1,46,4,6,0,6.5,7,2,1,5
10,21,0,0,89,3.3,1,0,7,7,1,1,4
11,19,1,2,31,4.8,5,1,6.2,5,0,3,7
12,20,0,2,90,5.5,6,1,5.8,6,1,2,8
13,22,1,0,44,2.8,4,0,7.2,8,2,1,4
14,18,0,1,61,6.5,1,1,5.5,5,2,4,9
15,21,1,2,82,3.7,11,0,6.8,7,1,2,5
16,20,0,2,20,4.2,6,1,6,6,0,3,7
17,24,1,0,92,2,4,0,7.8,8,2,0,3
18,19,0,1,71,5,1,1,5.7,5,1,3,8
19,21,1,2,26,3.5,0,0,6.7,7,2,1,5
20,20,0,2,67,4.7,5,1,5.9,6,0,3,7
21,18,1,1,12,5.3,6,1,5.5,5,2,4,8
22,23,0,0,93,2.5,4,0,7.3,8,1,1,4
23,19,1,2,6,4.9,1,1,5.8,6,0,3,7
24,20,0,2,79,5.7,6,1,5.4,5,2,4,8
25,22,1,0,35,3.2,0,0,6.9,7,1,2,5
26,19,0,1,42,6.1,1,1,5.2,5,0,4,9
27,21,1,2,68,3.8,11,0,6.6,7,2,1,5
28,20,0,2,85,4.4,6,1,5.9,6,1,3,7
29,24,1,0,58,2.2,4,0,7.4,8,2,0,3
30,19,0,1,97,5.9,1,1,5.3,5,0,4,8
31,21,1,2,108,3.6,0,0,6.7,7,2,1,5
32,20,0,2,77,4.8,5,1,5.7,6,1,3,7
33,18,1,1,40,5.4,6,1,5.4,5,0,4,8
34,23,0,0,95,2.6,4,0,7.2,8,2,1,4
35,19,1,2,36,4.7,1,1,5.8,6,1,3,7
36,20,0,2,99,5.6,6,1,5.5,5,0,4,8
37,22,1,0,43,3.1,0,0,6.8,7,2,1,5
38,19,0,1,100,6.2,1,1,5.1,5,1,4,9
39,21,1,2,28,3.9,11,0,6.5,7,0,2,6
40,20,0,2,65,4.5,6,1,5.8,6,2,3,7
41,24,1,0,88,2.3,4,0,7.3,8,1,1,4
42,19,0,1,69,5.8,1,1,5.4,5,0,4,8
43,21,1,2,49,3.7,0,0,6.6,7,2,2,5
44,20,0,2,34,4.6,5,1,5.7,6,1,3,7
45,18,1,1,3,5.5,6,1,5.3,5,2,4,8
46,23,0,0,19,2.7,4,0,7.1,8,0,1,4
47,19,1,2,21,4.8,1,1,5.9,6,1,3,7
48,20,0,2,76,5.5,6,1,5.6,5,2,4,8
49,22,1,0,107,3.3,0,0,6.7,7,1,2,5
50,19,0,1,27,6.3,1,1,5.2,5,0,4,9
51,21,1,2,103,3.8,11,0,6.4,7,2,2,6
52,20,0,2,75,4.7,6,1,5.8,6,1,3,7
53,24,1,0,14,2.4,4,0,7.2,8,0,1,4
54,19,0,1,22,5.7,1,1,5.5,5,2,4,8
55,21,1,2,74,3.6,0,0,6.5,7,1,2,5
56,20,0,2,45,4.9,5,1,5.6,6,0,3,7
57,18,1,1,98,5.6,6,1,5.2,5,2,4,8
58,23,0,0,8,2.8,4,0,7,8,1,1,4
59,19,1,2,38,4.6,1,1,5.9,6,0,3,7
60,20,0,2,30,5.4,6,1,5.7,5,2,4,8
61,22,1,0,78,3.1,0,0,7.1,7,2,1,5
62,19,0,2,81,5.6,1,1,5.6,5,1,3,8
63,20,1,2,37,4.2,6,1,6,6,0,3,7
64,18,0,1,25,6.1,5,1,5.2,4,2,4,9
65,23,1,0,86,2.3,4,0,7.4,8,1,1,3
66,21,0,2,23,4.8,1,1,5.8,6,2,3,7
67,20,1,2,84,3.9,11,0,6.5,7,0,2,6
68,19,0,1,87,5.7,6,1,5.4,5,1,4,8
69,22,1,0,17,2.8,4,0,7.2,8,2,1,4
70,20,0,2,29,4.5,1,1,5.9,6,0,3,7
71,18,1,1,53,5.4,5,1,5.5,5,2,4,8
72,21,0,0,56,3.2,0,0,6.8,7,1,2,5
73,19,1,2,102,4.9,6,1,5.7,6,0,3,7
74,20,0,2,62,5.8,1,1,5.3,5,2,4,8
75,23,1,0,11,2.5,4,0,7.3,8,1,1,4
76,21,0,2,48,4.6,5,1,5.8,6,2,3,7
77,19,1,1,105,5.5,6,1,5.4,5,0,4,8
78,22,0,0,52,2.9,0,0,7,7,1,2,5
79,20,1,2,96,4.7,11,1,5.9,6,2,3,7
80,18,0,1,4,5.9,1,1,5.2,5,0,4,9
81,21,1,0,32,3,4,0,7.1,8,1,1,4
82,19,0,2,7,4.8,6,1,5.7,6,2,3,7
83,20,1,2,24,3.8,0,0,6.6,7,0,2,6
84,22,0,0,60,2.7,4,0,7.2,8,1,1,4
85,18,1,1,57,5.6,5,1,5.3,5,2,4,8
86,21,0,2,63,4.5,1,1,5.8,6,0,3,7
87,19,1,1,2,5.3,6,1,5.5,5,1,4,8
88,23,0,0,83,2.6,4,0,7.3,8,2,1,4
89,20,1,2,106,4.4,11,1,6,6,0,3,7
90,18,0,1,55,5.8,1,1,5.2,5,2,4,9
91,22,1,0,64,2.9,0,0,7,7,1,2,5
92,19,0,2,1,4.7,6,1,5.8,6,0,3,7
93,21,1,2,70,3.7,5,0,6.5,7,2,2,6
94,20,0,1,50,5.5,1,1,5.4,5,1,4,8
95,23,1,0,15,2.4,4,0,7.4,8,0,1,4
96,19,0,2,80,4.9,6,1,5.7,6,2,3,7
97,18,1,1,51,5.7,5,1,5.3,5,1,4,8
98,22,0,0,9,2.8,4,0,7.1,8,0,1,4
99,20,1,2,72,4.6,1,1,5.9,6,2,3,7
100,21,0,2,47,5.4,6,1,5.5,5,1,4,8
101,19,1,1,54,5.8,11,1,5.2,5,0,4,9
102,23,0,0,41,2.5,4,0,7.3,8,2,1,4
103,20,1,2,109,4.7,0,1,5.8,6,1,3,7
104,18,0,1,94,5.6,1,1,5.4,5,2,4,8
105,22,1,0,0,2.9,4,0,7,7,0,2,5
106,19,0,2,73,4.8,6,1,5.7,6,1,3,7
107,21,1,2,66,3.8,11,0,6.6,7,2,2,6
108,20,0,1,13,5.5,5,1,5.5,5,0,4,8
109,23,1,0,91,2.6,4,0,7.2,8,1,1,4
110,19,0,2,59,4.9,1,1,5.8,6,2,3,7
111,20,1,2,10,6.1,1,1,6.2,5,2,4,8
112,21,0,2,39,5.8,6,1,5.9,6,1,3,7
113,19,1,2,66,4.9,0,0,7.1,7,2,2,5
114,22,0,0,73,5.5,1,1,6,5,2,4,8
115,20,1,2,91,5.2,6,1,6.3,6,1,3,7
116,19,0,2,59,4.8,1,0,7.2,8,2,2,5
117,21,1,0,10,6,0,1,5.8,5,1,4,8
118,20,0,2,39,5.7,1,1,6.1,6,2,3,7
119,22,1,0,66,4.7,6,0,7.3,7,2,2,5
120,19,0,2,73,5.4,1,1,6.2,5,1,4,8
121,20,1,2,91,5.9,0,1,5.9,6,2,3,7
122,21,0,0,59,4.6,1,0,7.4,8,1,2,5
123,19,1,2,10,5.3,6,1,6.3,5,2,4,8
124,22,0,0,39,5.8,1,1,5.8,6,1,3,7
125,20,1,2,66,4.5,0,0,7.5,7,2,2,5
126,21,0,0,73,5.2,1,1,6.4,5,1,4,8
127,19,1,2,91,5.7,6,1,5.7,6,2,3,7
128,20,0,2,59,4.4,1,0,7.6,8,1,2,5
129,22,1,0,10,5.1,0,1,6.5,5,2,4,8
130,21,0,0,39,5.6,1,1,5.6,6,1,3,7
131,19,1,2,66,4.3,6,0,7.7,7,2,2,5
132,20,0,2,73,5,1,1,6.6,5,1,4,8
133,22,1,0,91,5.5,0,1,5.5,6,2,3,7
134,21,0,0,59,4.2,1,0,7.8,8,1,2,5
135,19,1,2,10,4.9,6,1,6.7,5,2,4,8
136,20,0,2,39,5.4,1,1,5.4,6,1,3,7
137,22,1,0,66,4.1,0,0,7.9,7,2,2,5
138,21,0,0,73,4.8,1,1,6.8,5,1,4,8
139,19,1,2,91,5.3,6,1,5.3,6,2,3,7
140,20,0,2,59,4,1,0,8,8,1,2,5
141,22,1,0,10,4.7,0,1,6.9,5,2,4,8
142,21,0,0,39,5.2,1,1,5.2,6,1,3,7
143,19,1,2,66,3.9,6,0,8.1,7,2,2,5
144,20,0,2,73,4.6,1,1,7,5,1,4,8
145,22,1,0,91,5.1,0,1,5.1,6,2,3,7
146,21,0,0,59,3.8,1,0,8.2,8,1,2,5
147,19,1,2,10,4.5,6,1,7.1,5,2,4,8
148,20,0,2,39,5,1,1,5,6,1,3,7
149,22,1,0,66,3.7,0,0,8.3,7,2,2,5
150,21,0,0,73,4.4,1,1,7.2,5,1,4,8
151,19,1,2,91,4.9,6,1,4.9,6,2,3,7
152,20,0,2,59,3.6,1,0,8.4,8,1,2,5
153,22,1,0,10,4.3,0,1,7.3,5,2,4,8
154,21,0,0,39,4.8,1,1,4.8,6,1,3,7
155,19,1,2,66,3.5,6,0,8.5,7,2,2,5
156,20,0,2,73,4.2,1,1,7.4,5,1,4,8
